Date,Group_02
1931-08,0.004590458312102765
1931-09,-0.2584417093512832
1931-10,0.06983305532462657
1931-11,-0.09364441613701985
1931-12,-0.15279964690212483
1932-01,0.008683443732289239
1932-02,0.038636940295171944
1932-03,-0.11744814020220441
1932-04,-0.15390296155255798
1932-05,-0.2292143062744151
1932-06,-0.010006118873304912
1932-07,0.3274261864535564
1932-08,0.4518351730179588
1932-09,-0.014237578011388523
1932-10,-0.14377219465972985
1932-11,-0.04630195053054073
1932-12,-0.012531458694699951
1933-01,0.008711280107627811
1933-02,-0.13784699241063048
1933-03,0.0915639947437582
1933-04,0.2496026666666667
1933-05,-0.017219333333333336
1933-06,0.11273733333333336
1933-07,-0.14258066666666672
1933-08,0.21358266666666673
1933-09,-0.15796000000000002
1933-10,-0.137668
1933-11,0.12132533333333335
1933-12,0.06794533333333333
1934-01,0.1656433333333334
1934-02,-0.004624000000000001
1934-03,0.033816666666666675
1934-04,0.016684000000000008
1934-05,-0.09843757860657625
1934-06,-0.01306726371320871
1934-07,-0.15505333189012152
1934-08,0.06710837897906993
1934-09,-0.0022012850621663865
1934-10,0.021242721852094523
1934-11,0.10673305074848541
1934-12,-0.005602372672077938
1935-01,-0.05182375220620687
1935-02,-0.04053543879061772
1935-03,-0.043568052588700265
1935-04,0.0628054581232027
1935-05,0.036021688526244586
1935-06,0.03665804030538274
1935-07,0.023857333333333335
1935-08,-0.008735333333333335
1935-09,0.09050266666666669
1935-10,0.07375533333333334
1935-11,0.03675933333333334
1935-12,0.045470666666666666
1936-01,0.10828333333333336
1936-02,0.021822000000000005
1936-03,0.008400000000000001
1936-04,-0.1408086666666667
1936-05,0.07469266666666668
1936-06,0.003334666666666669
1936-07,0.11077400000000001
1936-08,0.021075333333333335
1936-09,0.0666806666666667
1936-10,0.08019333333333335
1936-11,0.11647800000000001
1936-12,0.04624066666666667
1937-01,0.03770533333333334
1937-02,0.01112
1937-03,-0.018268666666666676
1937-04,-0.11078866666666669
1937-05,-0.005876666666666667
1937-06,-0.07130666666666667
1937-07,0.12093666666666666
1937-08,-0.05078583687166595
1937-09,-0.18040882400538136
1937-10,-0.07737947686114977
1937-11,-0.06742470642298128
1937-12,-0.07803098078984458
1938-01,0.012188573231160717
1938-02,0.03697644210964514
1938-03,-0.23309004539014483
1938-04,0.16162630654776627
1938-05,-0.03238979509495445
1938-06,0.23349280255791943
1938-07,0.07558515642427396
1938-08,-0.05081294019129806
1938-09,-0.0012063018104503274
1938-10,0.03251266666666667
1938-11,0.013826000000000003
1938-12,0.034168666666666674
1939-01,-0.10742266666666668
1939-02,0.05473866666666668
1939-03,-0.22599333333333335
1939-04,0.0025793333333333332
1939-05,0.12423533333333336
1939-06,-0.06998549878605262
1939-07,0.09803942381720487
1939-08,-0.08197756530326561
1939-09,0.05493533333333334
1939-10,0.0016978492677320357
1939-11,-0.04132197708473633
1939-12,0.01551781155382907
1940-01,-0.011591570924161132
1940-02,0.013548699787735449
1940-03,0.016888000000000004
1940-04,0.014118666666666672
1940-05,-0.2059469613143975
1940-06,0.07259726956209392
1940-07,0.038065379842784186
1940-08,-9.122066708087788e-05
1940-09,0.11301948573739035
1940-10,0.010943827491601726
1940-11,-0.035162188492900336
1940-12,0.02370730124886454
1941-01,0.007431307718236414
1941-02,-0.03170482493513513
1941-03,0.0511214048329089
1941-04,-0.0658967092336622
1941-05,0.00019669387878169364
1941-06,0.0641841089642868
1941-07,0.09830159495501817
1941-08,0.002454608386704689
1941-09,-0.03831999634371645
1941-10,-0.049760412822779224
1941-11,-0.04300460588677992
1941-12,-0.05079990541634487
1942-01,0.05823881089350319
1942-02,-0.007824204244917345
1942-03,-0.019365903769632462
1942-04,-0.04267131845139121
1942-05,0.024667049439662782
1942-06,0.01957382644670912
1942-07,0.04769943992528331
1942-08,0.00582895204920007
1942-09,0.035649358080361494
1942-10,0.061272795074483126
1942-11,0.003711504136206754
1942-12,0.06098933333333334
1943-01,0.09856000000000002
1943-02,0.08940733333333335
1943-03,0.15462866666666672
1943-04,0.06666400000000001
1943-05,0.12383333333333335
1943-06,0.029386000000000002
1943-07,-0.052307333333333345
1943-08,0.02694333333333334
1943-09,0.021724000000000004
1943-10,0.008315333333333336
1943-11,-0.07876133333333335
1943-12,0.11887200000000002
1944-01,0.034344000000000006
1944-02,-0.006643999999999997
1944-03,0.059382000000000004
1944-04,-0.026540775856060884
1944-05,0.06232743973668749
1944-06,0.08625666666666668
1944-07,-0.010645333333333337
1944-08,0.03393933333333335
1944-09,-0.012060000000000001
1944-10,-0.0065966666666666665
1944-11,0.04336666666666668
1944-12,0.08856000000000001
1945-01,0.047380000000000005
1945-02,0.07616533333333335
1945-03,-0.07468600000000002
1945-04,0.09543400000000002
1945-05,0.02066
1945-06,0.05907000000000001
1945-07,-0.03960400000000001
1945-08,0.07649933333333335
1945-09,0.12496200000000002
1945-10,0.11103400000000002
1945-11,0.11675600000000001
1945-12,0.04082666666666668
1946-01,0.12157666666666668
1946-02,-0.07124666666666668
1946-03,0.06929000000000002
1946-04,0.08067600000000003
1946-05,0.04371333333333334
1946-06,-0.06641466666666668
1946-07,-0.033855333333333335
1946-08,-0.08977866666666669
1946-09,-0.1004848053186483
1946-10,-0.017301386294718214
1946-11,0.016503291305992956
1946-12,0.045440600270867874
1947-01,0.011784150456291075
1947-02,-0.0077733157041512185
1947-03,-0.021288802661750365
1947-04,-0.0515067421032169
1947-05,-0.014885666161652817
1947-06,0.044396045814535545
1947-07,0.02934238058125549
1947-08,-0.0126873484306035
1947-09,0.009400269214374984
